 Input File ,   id   ,    Differences (COLUMN_NAME)    ,past_due_31_90,past_due_1_30,past_due_91_plus
 INPUT-2 ,10353,ENTRY PRESENT,0,0,16

 INPUT-1 ,10528,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,10528,ENTRY PRESENT,0,0,1367

 INPUT-1 ,10663,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,10663,ENTRY PRESENT,0,0,509



 INPUT-1 ,12755,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,12755,ENTRY PRESENT,0,0,604

 INPUT-1 ,13259,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,13259,ENTRY PRESENT,0,0,1088

 INPUT-1 ,14130,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,14130,ENTRY PRESENT,0,0,486.64

 INPUT-1 ,14564,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,14564,ENTRY PRESENT,0,0,1367

 INPUT-1 ,14824,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,14824,ENTRY PRESENT,0,0,297.5

 INPUT-1 ,14859,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,14859,ENTRY PRESENT,0,0,1367

 INPUT-1 ,14951,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,14951,ENTRY PRESENT,0,0,607


 INPUT-1 ,15053,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,15053,ENTRY PRESENT,0,0,234.25

 INPUT-1 ,15063,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,15063,ENTRY PRESENT,0,0,1228


 INPUT-1 ,17844,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,17844,ENTRY PRESENT,0,0,59

 INPUT-1 ,19262,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,19262,ENTRY PRESENT,0,0,148.8




 INPUT-1 ,22627,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,22627,ENTRY PRESENT,0,0,169.5

 INPUT-1 ,22766,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,22766,ENTRY PRESENT,0,0,87.34


 INPUT-1 ,23975,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,23975,ENTRY PRESENT,0,0,618


 INPUT-1 ,24503,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,24503,ENTRY PRESENT,0,0,80.33




 INPUT-1 ,27305,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,27305,ENTRY PRESENT,0,0,154.78


 INPUT-1 ,27533,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,27533,ENTRY PRESENT,0,0,13




 INPUT-1 ,30061,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,30061,ENTRY PRESENT,0,0,103


 INPUT-1 ,33585,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,33585,ENTRY PRESENT,0,0,119.84

 INPUT-1 ,34968,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,34968,ENTRY PRESENT,0,0,57

 INPUT-1 ,37202,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,37202,ENTRY PRESENT,0,0,280


 INPUT-1 ,37796,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,37796,ENTRY PRESENT,0,0,236.64

 INPUT-1 ,38549,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,38549,ENTRY PRESENT,0,0,1

 INPUT-1 ,39286,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,39286,ENTRY PRESENT,0,0,170.25

 INPUT-1 ,39911,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,39911,ENTRY PRESENT,0,0,2209


 INPUT-1 ,43905,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,43905,ENTRY PRESENT,0,0,51


 INPUT-1 ,46435,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,46435,ENTRY PRESENT,0,0,1584

 INPUT-1 ,46512,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,46512,ENTRY PRESENT,0,0,59.75

 INPUT-1 ,47382,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,47382,ENTRY PRESENT,0,0,160.3


 INPUT-1 ,47854,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,47854,ENTRY PRESENT,0,0,212.2

 INPUT-1 ,48746,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,48746,ENTRY PRESENT,0,0,173.53

 INPUT-1 ,50145,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,50145,ENTRY PRESENT,0,0,1535

 INPUT-1 ,50559,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,50559,ENTRY PRESENT,0,0,335.6

 INPUT-1 ,51664,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,51664,ENTRY PRESENT,0,0,331

 INPUT-1 ,52404,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,52404,ENTRY PRESENT,0,0,11

 INPUT-1 ,53138,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,53138,ENTRY PRESENT,0,0,104

 INPUT-1 ,53155,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,53155,ENTRY PRESENT,0,0,84.47

 INPUT-1 ,53296,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,53296,ENTRY PRESENT,0,0,541






 INPUT-1 ,58845,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,58845,ENTRY PRESENT,0,0,677

 INPUT-1 ,59060,ENTRY PRESENT,0,0,12.78
 INPUT-2 ,59060,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT

 INPUT-1 ,59378,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,59378,ENTRY PRESENT,0,0,94.2

 INPUT-1 ,60104,1926.67 (past_due_91_plus),0,0,1926.67
 INPUT-2 ,60104,1541.34 (past_due_91_plus),0,0,1541.34

 INPUT-1 ,60377,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,60377,ENTRY PRESENT,0,0,124


 INPUT-1 ,61477,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,61477,ENTRY PRESENT,0,0,503

 INPUT-1 ,61976,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,61976,ENTRY PRESENT,0,0,20

 INPUT-1 ,62737,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,62737,ENTRY PRESENT,0,0,799

 INPUT-1 ,62748,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,62748,ENTRY PRESENT,0,0,359

 INPUT-1 ,62954,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,62954,ENTRY PRESENT,0,0,86.58

 INPUT-1 ,63237,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,63237,ENTRY PRESENT,0,0,688

 INPUT-1 ,63744,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,63744,ENTRY PRESENT,0,0,383

 INPUT-1 ,63883,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
 INPUT-2 ,63883,ENTRY PRESENT,0,0,1123

 INPUT-1 ,64102,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT,ENTRY NOT PRESENT
